首字母,词条,文献,
,,"2007，赵俊.中西“保险”之词源[J].中国社会科学院研究生院学报,2007,No.160(04):92.",
,保守,2014，沈國威，近代關鍵詞考源：保守、進步、進化、退化、退步，東亞觀念史集刊，6期，302-323,
,,2019，崔惠善，梁启超译著中的日语词汇及其对中韩的影响―以《时务报》、《清议报》、《新民丛报》为素材，関西大学外国語教育学研究科博士論文,
,,2019，沈国威，汉语近代二字词研究：语言接触与汉语的近代演化，华东师范大学出版社,
,报告,"2012，佐藤佑，『太陽コーパス』にみる，動詞性名詞「報告」の使用実態	第2回コーパス日本語学ワークショッ，77-86",
,暴击,2017，仇子揚，漢籍語「爆撃」の語誌変遷について : 「爆発」、「炸裂」から「爆弾攻撃」への転用経緯，東アジア文化交渉研究，第10卷，343-356,
,,2019，仇子揚，近代日中軍事用語の変容と交流の研究，関西大学外国語教育学研究科博士論文,
,报阀,"2023，周光明,文爽.试论近代“报阀”概念的多重含义[J].新闻爱好者,2023,No.541(01):56-58.",
,报刊,"1990，陈江.“报”与“刊”的分离及杂志的定义——中国近现代期刊史札记之一[J].编辑之友,1990(05):65-67.",
,报社,"2017，周光明,凌昱.“报社”源流考[J].出版科学,2017,25(06):121-124.",
,报纸,2015，杉本つとむ，江戸時代翻訳語の世界，八坂書房,
,,"2016，向芬,刘晓平.从news到“新闻”,从newspaper到“报纸”——兼论近代新闻语词的衍变路径以及话语实践[J].新闻与传播研究,2016,23(06):117-125.",
,,"2020，潘瑞芳.Newspaper的中文译名——基于早期英汉词典的考察[J].亚洲与世界,2020(00):19-36.",
,,"2022，郭利霞.清末民初“报纸”类词语的选择和定型过程[J].现代传播(中国传媒大学学报),2022,44(12):10-17.",
,棒球,2016，高嶋航，なせbaseball は棒球と訳されたか -翻訳から見る近代中国スポーツ史.京都大學文學部研究紀要， 55，81-133,
,悲剧,"1986，聂振斌.中国近代悲剧论[J].华南师范大学学报(社会科学版),1986(03):16-22.",
,,"2005，赵得昌.清末民初的悲剧理论与悲剧结局[J].首都师范大学学报(社会科学版),2005(03):77-83.",
,,"2011，李群.近代中国“悲剧”观的引入、形成与日本影响[J].社会科学辑刊,2011,No.196(05):197-202.",
,,"2018，赵晓霞.“悲剧”概念在中国的早期接受研究(1904-1949)综述[J].戏剧之家,2018,No.276(12):186-189.",
,,2019，赵晓霞. “悲剧”概念在中国（1904-1949）[D].济南大学硕士论文,
,北洋,"2024，郭卫东.新世界观的形成：东、西、南、北洋的概念流变[J].清史研究,2024(01):10-24.",
,本科,"2022，蒋纯焦.论“本科”概念演变与中国高等教育变革[J].西南大学学报(社会科学版),2022,48(02):168-176.",
,本体,"2004，叶起昌.“本”、“体”、“本体”词源考[J].科技术语研究,2004(04):19-20.",
,本质,"2022，李永杰.唯物辩证法“本质”概念在汉语语境中的生成与运用[J].兰州学刊,2022,(11):14-21.",
,绷带,2015，杉本つとむ，江戸時代翻訳語の世界，八坂書房,
,泵,2015，杉本つとむ，江戸時代翻訳語の世界，八坂書房,
,鼻息肉,"2022，张建兰,高新颜.“鼻息肉”源流考述[J].中国中医基础医学杂志,2022,28(05):679-681+708.",
,比较宪法,"2015，韩大元.比较宪法概念在近代中国的演变[J].比较法研究,2015,No.142(06):70-79.",
,闭关锁国,"2022，中国历史研究院课题组,高翔.明清时期“闭关锁国”问题新探[J].历史研究,2022(03):4-21+219.",
,避雷针,2015，杉本つとむ，江戸時代翻訳語の世界，八坂書房,
,,"2020，黄河清.避雷针名称考[J].中国科技术语,2020,22(06):108-112.",
,边疆,"2004，张世明,龚胜泉.“边疆”一词在世界主要法系中的镜像:一个语源学角度的考察[J].中国边疆史地研究,2004(02):3-13+148.",
,,"2021，邱伟云,严程.数字人文视野下中国近代边疆概念群研究[J].云南师范大学学报(哲学社会科学版),2021,53(04):21-30.",
,边疆学,"2012，娄贵品.近代中国“边疆学”概念提出与传播的历史考察[J].学术探索,2012,No.153(08):85-90.",
,扁桃腺,2015，杉本つとむ，江戸時代翻訳語の世界，八坂書房,
,便秘,2015，杉本つとむ，江戸時代翻訳語の世界，八坂書房,
,辩证法,2003，李博（Wolfgang Lippert）著赵倩等译，汉语中的马克思主义术语的起源与作用，中国社会科学出版社,
,,"2022，郑子健.“辩证法”到中国：马克思主义视野下的概念史研究[J].西部学刊,2022(11):25-28.",
,标点,2015，杉本つとむ，江戸時代翻訳語の世界，八坂書房,
,表情,2019，沈国威，汉语近代二字词研究：语言接触与汉语的近代演化，华东师范大学出版社,
,表现,"2012，田中牧郎.新漢語定着の語彙的基盤——“太陽コーパス”の「実現」「表現」「出現」と「あらわす」「あらわれる」など[J].日语学习与研究,2012(03):39-47",
,冰川,2018，荒川清秀，日中漢語の生成と交流・受容 : 漢語語基の意味と造語力，白帝社,
,冰河,2018，荒川清秀，日中漢語の生成と交流・受容 : 漢語語基の意味と造語力，白帝社,
,病毒,2020，黄兴涛、陈鹏：《“细菌”“病毒”概念的传播与中国现代卫生防疫观念的兴起》，《光明日报》2020年4月20日，第14版。,
,,"2022，缪蓬.晚清民国“病毒”知识的翻译与引介:知识翻译学视角[J].当代外语研究,2022(04):22-32+45.",
,病院,2018，荒川清秀，日中漢語の生成と交流・受容 : 漢語語基の意味と造語力，白帝社,
,剥削,2003，李博（Wolfgang Lippert）著赵倩等译，汉语中的马克思主义术语的起源与作用，中国社会科学出版社,
,博爱,"2012，杨玉荣.中西日互动中“博爱”译名的流变[J].湖北大学学报(哲学社会科学版),2012,39(03):64-69.",
,博览会,"2009，洪振强,艾险峰.论晚清社会对博览会的观念认知[J].学术研究,2009(02):101-108+160.",
,,"2013，丁丽.近代中国“博览会”解析[J].石家庄经济学院学报,2013,36(06):114-116.",
obs,博物,"2006，于翠玲.从“博物”观念到“博物”学科[J].华中科技大学学报(社会科学版),2006(03):107-112.",
obs,,"2009，彭兆荣.此“博物”抑或彼“博物”:这是一个问题[J].文化遗产,2009(04):1-8+157.",
obs,,"2019，芦笛.“博物”观念在晚清时期的变迁[J].清史论丛,2019(02):164-197.",
,博物馆,"1988，冯承柏.论博物馆的起源[J].中国博物馆,1988(02):6-9+95.",
,,"1988，苏东海.博物馆演变史纲[J].中国博物馆,1988(01):10-23+96.",
,,1989，胡骏，博物馆纵横[M]. 中国青年出版社,
,,1990，王宏钧主编中国博物馆学基础[M]. 上海古籍出版社 ,
,,1994，马继贤，博物馆学通论[M]. 四川大学出版社,
,,2004，吕济民，中国博物馆史论. 紫禁城出版社,
,,2007，陈锐. 晚清西方博物馆观念在中国的传播[D].湖南大学硕士论文,
,,"ROGÉRIO MIGUEL PUGA. The First Museum in China: The British Museum of Macao (1829–1834) and its Contribution to Nineteenth-Century British Natural Science *[J]. Journal of the Royal Asiatic Society, 2012, 22(3-4) : 575-586.",
x,,"2016，李军.汉语“博物馆”、“博物院”的产生及使用——以19世纪外汉字典、中文报刊为中心[J].东南文化,2016(03):96-102.",
x,,"2020，徐玲,刘秀娟.近代博物馆概念的再思考——兼论中国博物馆学先驱之思想[J].中国国家博物馆馆刊,2020(04):149-160.",
obs,博物学,"2016，朱慈恩.论清末民初的博物学[J].江苏科技大学学报(社会科学版),2016,16(02):19-24.",
,不动产,"2009，张璐,赵晓耕.从动物、植物到动产、不动产——近代法律词汇翻译个案考察[J].河南省政法管理干部学院学报,2009,24(01):78-85.",
,,"2015，鄭艶，日本における「動産・不動産」の定着に関する一考察，或問，No.24,31-46",
,不平等,"2006，侯中军.不平等概念与近代中国的不平等条约[J].中国社会科学院研究生院学报,2006(02):102-107.",
C,,,
,采访,"2009，邓绍根.“采访”词源新证及其术语的形成[J].当代传播,2009,No.149(06):58-60.",
,,2016，冯天瑜等，近代汉字术语的生成演变与中西日文化互动研究，经济科学出版社,
,采访学,2016，冯天瑜等，近代汉字术语的生成演变与中西日文化互动研究，经济科学出版社,
,裁判,"2013，陶芸.中日法律同形词词源考——以“裁判”为例[J].华南师范大学学报(社会科学版),2013,No.202(02):127-132.",
,,2019，陳力衛，近代知の翻訳と伝播―漢語を媒介に，三省堂,
,,2023，何华珍 丁鑫美，近現代中日漢字詞源流考述，汉语史研究集刊（第三十四辑），四川大学出版社，198-211,
,长颈鹿,"2021, 村端五郎，近現代英和対訳辞書における訳語変遷に関する研究─‘ Giraffe’ 訳語の問題を中心に ─，宮崎大学教育学部紀要，第97号，85-114",
,差别,2018，胡新祥，中日近代新漢語についての研究－仏教由来漢語を中心に，立教大学博士論文,
,常识,2009，金观涛、刘青峰，观念史研究：中国现代重要政治术语的形成，法律出版社,
,,"2014，夏晓虹.梁启超的“常识”观[J].天津社会科学,2014(01):109-122.",
,,2015，杉本つとむ，江戸時代翻訳語の世界，八坂書房,
,,2022，熊阔勉. 从中国近代知识转型看“常识”概念的生成（1895～1923）[D].华中师范大学硕士论文,
,驰走,2016，欒竹民，日本語における漢語の意味変化についてーー「馳走」の続貂ーー，広島国際研究22卷，89-104,
,赤十字,"2018，邹振环.近代中欧日交流视野下的“红十字”和“赤十字”[J].广东社会科学,2018(02):117-125+255.",
,赤十字会,"2018，邹振环.近代中欧日交流视野下的“红十字”和“赤十字”[J].广东社会科学,2018(02):117-125+255.",
,赤字,"2021，戸谷将義，中国語における日本語の借用と意味変化 ─ “赤字”を例として─，日中語彙研究10,149-170",
,趁热打铁,2015，杉本つとむ，江戸時代翻訳語の世界，八坂書房,
,成果,2017，鄒文君，原因・結果を表す漢語についての研究，立教大学博士論文,
,,2018，胡新祥，中日近代新漢語についての研究－仏教由来漢語を中心に，立教大学博士論文,
,,"2022，鄒文君，和製新漢語の造語にともなう. 意味変化について. ―「なりはて」から「成果」へを例として，慶應義塾大学日本語・日本文化教育センター,日本語と日本語教育No.55,5-22",
,成立,2021，楊馳，近代二字漢語動詞の形成と展開 : 日中言語接触と語彙近代化の視点からの考察，関西大学外国語教育学研究科博士論文,
,,2024，杨驰，中日同形词“成立”的近代词义嬗变: 基于语言接触与科学叙事视角的考察，關西大學中國文學會紀要，巻45，127-140,
,崇高,"2009，鄂霞,王确.美学关键词“崇高”的生成和流变[J].文艺争鸣,2009,No.166(11):32-37.",
,重婚,2015，郑艳. 清末中日法律用语的交流与借用[D].北京外国语大学博士论文,
,,"2020，郑艳.《申报》中所见日语借词“重婚”的容受过程研究[J].高等日语教育,2020(01):64-77+160.",
,,"2020，郑艳.语言接触视阈下“重婚”的词义演变[J].日语学习与研究,2020,No.211(06):53-62.",
,出版,"1988，朱光暄,薛钟英,王益.“出版”探源[J].出版发行研究,1988(05):51-53.",
,,"1990，林穗芳.明确“出版”概念  加强出版学研究[J].出版发行研究,1990(06):13-20+1+12.",
,,"1997，刘辰.“出版”概念与出版史[J].中国出版,1997(03):58-60.",
,,"1999，王益.“出版”再探源[J].出版发行研究,1999(06):8-9.",
,,"2006，王振铎.“出版”史论[J].出版发行研究,2006(10):26-29.",
,,"2008，胡国祥.“出版”概念考辨[J].武汉大学学报(哲学社会科学版),2008(03):437-442.",
,,"2008，于翠玲.“出版”溯源与中国出版活动的演变[J].延安大学学报(社会科学版),2008(01):121-125.",
,,"2009，焦中栋.“编辑”“出版”最早出现时间新考[J].编辑之友,2009(10):108-109.",
,,"2009，诸葛蔚东.“出版”起源考[J].国际新闻界,2009(01):104-108.",
,,"2018，吴赟,闫薇.出版概念的生成、演进、挑战与再认知:基于概念史视角的考论[J].中国编辑,2018(10):21-27.",
,,"2022，李唯梁.“出版”:一个“纠缠式”的关键词[J].现代出版,2022(02):66-74.",
,出版自由,"2013，于翠玲,郭毅.清末民国教科书中的“出版自由”概念考论[J].吉林师范大学学报(人文社会科学版),2013,41(03):87-91.",
,出现,"2012，田中牧郎.新漢語定着の語彙的基盤——“太陽コーパス”の「実現」「表現」「出現」と「あらわす」「あらわれる」など[J].日语学习与研究,2012(03):39-47",
,初恋,2018，清地ゆき子，近代訳語の受容と変容，民国期の恋愛用語を中心に，白帝社,
,处女膜,2015，杉本つとむ，江戸時代翻訳語の世界，八坂書房,
,传染病,"2021，高晞.疫病的现代性:从“瘟疫”到“传染病”的认知嬗变[J].复旦学报(社会科学版),2021,63(01):94-104.",
,传统,2013，沈国威，近代關鍵詞考源，傳統、近代、現代，東亞觀念史集刊，第四期，2013，417-437,
,,2019，崔惠善，梁启超译著中的日语词汇及其对中韩的影响―以《时务报》、《清议报》、《新民丛报》为素材，関西大学外国語教育学研究科博士論文,
,,2019，沈国威，汉语近代二字词研究：语言接触与汉语的近代演化，华东师范大学出版社,
,,"2020, 章可.清末民初“传统”的出现，概念史视角的考察[J].史学月刊,2020(04)，123-131.",
,传真,"2017，王沛,姚远.“传真”中文译名的由来与确立[J].科学技术哲学研究,2017,34(06):95-99.",
,创造性叛逆,"2022，梁新军.“创造性叛逆”的跨国旅行与内涵变迁——对比较文学译介学一个经典术语的考察[J].外国语(上海外国语大学学报),2022,45(01):95-102.",
,创作,"2018，刘宁.清末民初中日辞书“创作”概念解析[J].美术观察,2018,No.278(10):127-128.",
,词类,2015，杉本つとむ，江戸時代翻訳語の世界，八坂書房,
,雌蕊,2015，杉本つとむ，江戸時代翻訳語の世界，八坂書房,
,慈善,"2014，王文涛.“慈善”语源考[J].中国人民大学学报,2014,28(01):28-33.",
,,"2018，陈梦苗.“公益”与“慈善”辨析:一个文献评述[J].中国非营利评论,2020,25(01):315-330.",
,,"2018，李喜霞.近代慈善公益概念的形成及其内涵探析[J].东方论坛,2018,No.150(02):40-44.",
,,"2018，曾桂林.从“慈善”到“公益”:近代中国公益观念的变迁[J].文化纵横,2018(01):44-49.",
,,2021，章可，近現代「慈善」新詞考源，东亚观念史集刊，第19期，437-456,
,催化,"2020，李志良.译词“催化”溯源[J].上海翻译,2020(04):72-77.",
,,"2021，李志良.催化概念在近代中国的传入与初步发展[J].自然科学史研,2021,40(01)，37-48.",
,催眠术,"2020，贾立元.催眠术在近代中国的传播（1839—1911)[J].科学文化评论,2020,17(03):54-70.",
D,,,
,打消,2007，沈阳. 关于汉语中的日语借词的考察[D].辽宁师范大学硕士论文,
,大权,2022，于飞 崔学森 佟一，语言接触视角下近代汉语词汇的生成，社会科学文献出版社,
,大清帝国,"2022，刘文明.“大清帝国”概念流变的考察[J].社会科学文摘,2022(12):36-38.",
,,"2022，刘文明.“大清帝国”概念流变的考察[J].历史研究,2022(03):134-152+223.",
,大同,"2013，林芳.“大同”概念的近世转化与中共早期社会理想之形成[J].党史研究与教学,2013,No.231(01):100-110.",
,大统领,2015，孫建軍，近代日本語の起源ー幕末明治初期につくられた新漢語ー，早稲田大学出版部,
,大西洋,"2019，庞乃明.明清中国“大西洋”概念的生成与演变[J].学术研究,2019(11):127-136+178.",
,大猩猩,2015，杉本つとむ，江戸時代翻訳語の世界，八坂書房,
,大学,"2017，蔡先金.“大学”之名与中国近代大学起源考辨[J].高等教育研究,2017,38(01):73-80.",
,大英,2022，莊钦永，四不像“大英（国）”及其它：新教传教士译笔下的新词，八方文化,
,大众,2003，李博（Wolfgang Lippert）著赵倩等译，汉语中的马克思主义术语的起源与作用，中国社会科学出版社,
,,"2019，罗崇宏.“大众”概念的语义溯源[J].河北科技大学学报(社会科学版),2019,19(04):81-87.",
,单音,2018，阿久津智，「音韻」に関する語誌的研究，立教大学博士論文,
,导管,2015，杉本つとむ，江戸時代翻訳語の世界，八坂書房,
,道,"2014，罗志田.近代中国“道”的转化[J].近代史研究,2014,No.204(06):4-20+160.",
,,"2022，陈子恒.“器”对“道”的不断挑战：近代中国道器观的嬗变[J].西部学刊,2022,No.175(22):164-168.",
,,2023，邱伟云，道不远人：中国近代“道”概念的盈虚消长，中西书局,
,道德,"2011，李萍.日本近代“道德”、“伦理”概念的变迁[J].中国人民大学学报,2011,25(04):77-82.",
,,"2011，李萍.“道德”概念在近现代中国的意义转换[J].学术月刊,2011,43(06):42-48.DOI:10.19862/j.cnki.xsyk.2011.06.006.",
,的（接尾辞）,"2012，金曘泳，明治期における「−的」の用法の変遷—連体修飾用法を中心に—	国語語彙史の研究31卷，261-280",
,,"2012，金曘泳，明治期における漢語系接尾辞の競合関係に関する一考察—「−的」と「−上・−風・−性」の比較を中心に—	日語日文學硏究［日語日文学研究］82卷，167-189",
,,2017，杨超时，近代中日词汇交流与“的”“性”“化”构词功能的演变，中国社会科学出版社,
,德国,2020，田野村忠温，ドイツ国名「独逸」成立の過程とその背景 ， 社会 的条件と日本語における音訳語の特異性，東アジア文化交渉研究，13巻，61-79,
,,2023，田野村忠温，近代日中新語の諸相，和泉書院,
,德育,"2015，张小丽.“德育”“智育”“体育”概念在近代中国的形成考论[J].教育学报,2015,11(06):107-114.",
,抵押,2013，屈文生，从词典出发 法律术语译名统一与规范化的翻译史研究，上海人民出版社,
,地动说,2015，杉本つとむ，江戸時代翻訳語の世界，八坂書房,
,地理,"2018，黄河清.“地理”和“地理学”探源[J].中国科技术语,2018,20(04):58-62.",
,地理学,"2018，黄河清.“地理”和“地理学”探源[J].中国科技术语,2018,20(04):58-62.",
,地平线,2015，杉本つとむ，江戸時代翻訳語の世界，八坂書房,
,,"2021，李伟群.利玛窦在汉语外来词上的贡献:“子午线”“经线”“纬线”等词语探源[J].国际汉学,2021,No.26(01):28-36+202.",
,地球,"2003，冯天瑜.晚明西学译词的文化转型意义——以“脑囊”、“几何”、“地球”、“契丹即中国”为例[J].武汉大学学报(人文科学版),2003(06):657-664.",
,,"2017，余露.虚实互用:洋务运动时期的“天下”“地球”与“世界”[J].中山大学学报(社会科学版),2017,57(04):72-80.",
,,"2017，黄河清.“地球”探源[J].中国科技术语,2017,19(03):71-74.",
,,2021，冯天瑜、聂长顺，三十个关键词的文化史，中国社会科学出版社,
,地峡,"2018，黄河清.“地峡”探源[J].中国科技术语,2018,20(02):70-73.",
,地主,2003，李博（Wolfgang Lippert）著赵倩等译，汉语中的马克思主义术语的起源与作用，中国社会科学出版社,
,,2021，税明杰. 清末民初“地主”和“农民”概念的演变及其对农业政策的影响[D].湖南师范大学硕士论文,
,,"2021，王先明.地主：阶级概念的建构与现代中国历史的展开[J].清华大学学报(哲学社会科学版),2021,36(01):43-54+202-203.",
,帝国,"2007，饶淑莹.论“帝国”概念的历史沿革及其启示[J].俄罗斯研究,2007(01):6-10.",
,,"2015，曹新宇,黄兴涛.欧洲称中国为“帝国”的早期历史考察[J].史学月刊,2015,No.415(05):52-63.",
,,"2018，刘文明.“帝国”概念在西方和中国:历史渊源和当代争鸣[J].全球史评论,2018(02):3-27+308-309.",
,,"2020，李友东.从“王朝”到“帝国”的转移——西方学术范式中“历史中国”的意涵变化[J].史学理论研究,2020(03):10-16.",
,,"2021，周芬,张顺洪.帝国和帝国主义概念辨析[J].史学理论研究,2021(02):147-156+160.",
,帝国主义,"1962，李时岳.二十世紀初年中国知識界的帝国主义观和民族主义观[J].吉林大学社会科学学报,1962(02):15-26.",
,,"1990，曹奎.五四时期中国人民对帝国主义的认识[J].晋阳学刊,1990(06):26-28+93.",
,,"1996，杨春龙,仇海燕.“帝国主义”的原义是殖民扩张主义[J].淮阴师专学报,1996(03):41-42.",
,,2003，李博（Wolfgang Lippert）著赵倩等译，汉语中的马克思主义术语的起源与作用，中国社会科学出版社,
,,"2007，高岱.帝国主义概念考析[J].历史教学(高校版),2007(02):12-16.",
,,2009，金观涛、刘青峰，观念史研究：中国现代重要政治术语的形成，法律出版社,
,,"2014，马思宇.爱恨交织的“帝国主义”[J].读书,2014(01):41-49.",
,,2016，戴朴. “帝国主义”在近代中国[D].南京大学硕士论文,
,,"2017，曹龙虎.近代中国帝国主义概念的输入及衍化[J].武汉大学学报(人文科学版),2017,70(04):109-120.",
,,"2018，毕玉华.建构与调适:中共革命意识形态中的“帝国主义”概念[J].近代史研究,2018(05):29-33.",
,,"2018，葛静波.1910年代知识界对帝国主义的认识[J].苏区研究,2018(06):103-116.",
,,2019，陳力衛，近代知の翻訳と伝播―漢語を媒介に，三省堂,
,,2019，陈力卫，东来东往，近代中日之间的词语概念，社会科学文献出版社,
,,"2019，葛静波.“帝国主义”在清末中国:译介、认识与话语[J].西南大学学报(社会科学版),2019,45(02):172-179+198",
,,"2019，朱亚坤.何谓“帝国主义”?语境、面向与反思——主要基于对列宁帝国主义论的评析[J].国外理论动态,2019(04):52-63.",
,,"2021，周芬,张顺洪.帝国和帝国主义概念辨析[J].史学理论研究,2021(02):147-156+160.",
,,"2021，周芬,张顺洪.“帝国”与“帝国主义”概念不可泛用[J].历史评论,2021(04):106-107.",
,,"2022，李映珵.“帝国主义”还是“大国家主义”：大革命时期“Imperialism”的概念争论及其政治考量[J].上海党史与党建,2022(03):35-42.",
,,"2022，秦喜清.“帝国主义”概念的传入与中国早期电影的“反帝国主义”话语[J].文艺理论与批评,2022(05):109-118.",
,典型,"2013，旷新年.典型概念的变迁[J].清华大学学报(哲学社会科学版),2013,28(01):127-138+161.",
,电,"2019，郭盛,聂馥玲.英文“electricity”概念接受史简析[J].新乡学院学报,2019,36(04):48-51.",
,,2024，安部清哉編著，日本語における漢語語基史と新漢語史のための基礎的調査研究――漢字・漢語の“気づかない近代化”――，学習院大学東洋文化研究所,
,电池,2015，杉本つとむ，江戸時代翻訳語の世界，八坂書房,
,,2018，荒川清秀，日中漢語の生成と交流・受容 : 漢語語基の意味と造語力，白帝社,
,电话,2018，荒川清秀，日中漢語の生成と交流・受容 : 漢語語基の意味と造語力，白帝社,
,电气,"2007，雷银照.“电气”词源考[J].电工技术学报,2007(04):1-7.",
,,2018，荒川清秀，日中漢語の生成と交流・受容 : 漢語語基の意味と造語力，白帝社,
,,"2019，郭盛,聂馥玲.英文“electricity”概念接受史简析[J].新乡学院学报,2019,36(04):48-51.",
,,2019，郭盛. 英文“electricity”概念在中国的接受史研究[D].内蒙古师范大学硕士论文,
,,"2020，郭盛,聂馥玲.英语术语electricity汉语译名流变简释[J].中国科技术语,2020,22(02):74-80.",
,,2020，王丽娟，中日近代电学词语构词研究，北京外国语大学博士论文,
,,2021，安部清哉編，『明治初期理科教科書の近代漢語：中川重麗『博物学階段』にみる実態』，花鳥社,
,,"2022，郭盛,聂馥玲.“西学中源”之下的中国“电学史”溯源——以晚清“经世文编”为中心[J].文化学刊,2022(12):223-226.",
,,"2024，王丽娟，刍议中日""电气""概念受容，關西大學中國文學會紀要,巻45,191-202",
,电视,"2004，孙建三.在中国Televison为什么叫“电视”[J].中国广播电视学刊,2004(03):68-70.",
,,"2015，邓绍根.从新名词到关键词:民国“电视”概念史[J].现代传播(中国传媒大学学报),2015,37(07):41-45.",
,,"2023，薛毅帆,曹培鑫.新词与新物：1920—1930年代“Television”的汉译与流行研究[J].国际新闻界,2023,45(04):157-176.",
,,2023，田野村忠温，近代日中新語の諸相，和泉書院,
,电子,"2024，李志良，“电子”一词的译定历程及其意义引申，或问No.45,，45-55",
,雕塑,2017，刘振. “雕塑”的现代生成——一个美术概念的考察[D].广西艺术学院硕士论文,
,调查,2018，荒川清秀，日中漢語の生成と交流・受容 : 漢語語基の意味と造語力，白帝社,
,谍报,2019，陳力衛，近代知の翻訳と伝播―漢語を媒介に，三省堂,
,斗争,2009，金观涛、刘青峰，观念史研究：中国现代重要政治术语的形成，法律出版社,
,东亚病夫,"2012，刘越藩.“东亚病夫”本义[J].共产党员,2012(18):59.",
,,"2013，高嶋航，「東亜病夫」とスポーツ，石川禎浩　狹間直樹編（2013）『近代東アジアにおける翻訳概念の展開 : 京都大学人文科学研究所附属現代中国研究センター研究報告』，袁广泉等译（2015），《近代东亚翻译概念的发生与传播》，社科文献出版社,331-369",
,东洋,2008，孙江，“东洋”的变迁——近代中国语境里的“东洋”概念，孙江编：新史学（第二卷）：概念·文本·方法，中华书局,
,,"2018，黄东兰.东洋史中的“东洋”概念——以中日两国东洋史教科书为素材[J].福建论坛(人文社会科学版),2018(03):83-97.",
,,"2020，瞿亮,李佳乐.近代以来日本的文明论与国家走向——文明论视域下的“东洋”与“西洋”[J].南开日本研究,2020(1):168-183",
,,"2021，瞿亮,李佳乐.近代以来日本的文明论与国家走向——文明论视域下的“东洋”与“西洋”[J].日本学刊,2021(S01):161-162",
,,"2024，郭卫东.新世界观的形成：东、西、南、北洋的概念流变[J].清史研究,2024(01):10-24.",
,动产,"2009，张璐,赵晓耕.从动物、植物到动产、不动产——近代法律词汇翻译个案考察[J].河南省政法管理干部学院学报,2009,24(01):78-85.",
,,"2015，鄭艶，日本における「動産・不動産」の定着に関する一考察，或問，No.24,31-46",
x,动物,"2021，仇志群.是旧词重启还是新词新用——从“动物”一词看近代社会观念之变所引起的语言反应[J].辞书研究,2021(02):62-70+88+126.",
x,,"2023，陈思捷.《汉语大词典》“动物”“植物”条商榷[J].辞书研究,2023,No.253(01):109-115.",
,动机,2023，何华珍 丁鑫美，近現代中日漢字詞源流考述，汉语史研究集刊（第三十四辑），四川大学出版社，198-211,
,独裁,2003，李博（Wolfgang Lippert）著赵倩等译，汉语中的马克思主义术语的起源与作用，中国社会科学出版社,
,独立,2009，金观涛、刘青峰，观念史研究：中国现代重要政治术语的形成，法律出版社,
,独占,2003，李博（Wolfgang Lippert）著赵倩等译，汉语中的马克思主义术语的起源与作用，中国社会科学出版社,
,对抗,2003，李博（Wolfgang Lippert）著赵倩等译，汉语中的马克思主义术语的起源与作用，中国社会科学出版社,
,对立,2003，李博（Wolfgang Lippert）著赵倩等译，汉语中的马克思主义术语的起源与作用，中国社会科学出版社,
,对流,"2020，藤吉康志，いつ，誰が「convection」を「対流」と訳したか，天気 67 (8), 501-504",
E,,,
,,,
F,,,
