Lemma,Sense,Word Class,Year,Quotation,Source,Note
誌哀,/,verb,1878,舉國臣民遵制縞素成服以誌哀也,『申報』7月20日,
-製品,/,nominal bound root,1880,牛角製品,『申報』12月22日「戲咏煙具十首錄呈諸大吟壇指政」,
中國,(in treaties),noun,1731 (1690),河之南岸、属于中国。河之北岸、属于鄂罗斯。,『聖祖仁皇帝實錄·卷一四三』,
钟乳石,/,noun,1903,鐘乳石 (Sta\<l>actite),『中學地文教科書』75,Doolittle (1872): 石鐘乳
中文,/,noun,1873,「英京設教習中文書院」,『申報』3月24日,
中文系,(in a high school),noun,1923,中文系添古學哲學史學理論心理等類、英文系添有心理學高等幾何化學等課、,『時事新報』7月17日「蘇州桃塢改辦高級中學」,
,(in a university),/,1925,「上大中文系戊辰級會大會」,『民國日報』3月23日,"中文系 has the same referent as, but is _not_ semantically equivalent to, 中國語言文學系"
中西合璧,(in a neutral sense),idiom,1885,該洋東遞呈租地時所立中西合璧契據幷繪圖一張,『申報』8月14日「催繳地租」,
種族,race,noun,1907,按此文分別民族與種族之定義甚悉。同血統者。謂之同種族。不必同血統而能同文󵔻者。謂之同民族。,『中國新報』3「中國今世最宜之政體論·識」62+,
重工業,/,NP,1916,四國一致主張澈底解除侵略國之武裝，包括其重工業與軍事工業的解除。,『新青年』1/5「論『頓巴敦』會議」42,
種樹,plant trees,idiom,a1034 (c296),/,『文選·閒居賦』(8575),
-主義(1),/,nominal bound root,1883,因係官權主義聞主筆者必將更迭,『申報』3月4日「會黨類誌」,
助詞,/,noun,a1368 (a577),若送句及助詞當音矣󳼛反,『顔氏家訓·音辭第十八』81 (754329–31),
祝福,(intransitive),verb,1538 (1370),抑此乃祝福之詩非祭祀之詩,『五經蠡測·卷之四』13 (善000735),
,(transitive),/,1837,故皇上帝祝福是日、以爲聖日也。,『東西洋考每月統記傳』丁酉年六月「以色列遊野」,
著作權,/,noun,1902,經濟上之條約。即通商條約⋯著作權保護同盟條約工業保護同盟條約及關於撿疫條約是也。,『外交通義』214,from Japanese: 1899 (Mizuno); original by Nagaoka Harukazu (1901)
資本,/,noun,1871,"[資]本, capital","Lobscheid, _A Chinese and English Dictionary_, 481",
資本主義,/,noun,1927 (1903),欲知今日之資本主義。須知餘剩價格之性質如何。,趙必振譯『近世社會主義』111+,original by Fukui Junzō (1899)
資金(2),money for a particular purpose,noun,1901,此時.乙不有滙資金.或不爲負擔債務.而拒絕清償.則買受者.對前者請求償還,"『湖北商務報』90, 18",from Japanese: 1874 (Nikkoku); 資金(1) should probably be subsumed
資源,(metaphorical),noun,1902,不可無外交之憑藉不可無外交之資源 (resources de la< >diplomatie) 資源者何能制外國政府從吾之所要求之手段而已,『外交通義』9,original by Nagaoka Harukazu (1901)
字典,(as common noun),noun,1815,"『字典: A Dictionary of the Chinese Language, in Three Parts』",/,previously the name of _K'ang-hsi tzu tien_
自然,nature,noun,1902,自然者，由其狹義言之，則總稱天地、山川、草木等有形的物質的之現象及物體也。其由廣義言之，則包括世界全體,!王國維譯『哲學概論』261,original by Kuwaki Gen’yoku (1900)
自行車,/,noun,1868,又有自行車、前後各一輪、一大一小,『再述奇』642,
自由,/,adjective,1847,"a freeman, 自由之人","Medhurst, _English and Chinese Dictionary_, i, s.v. Citizen+",
自由競爭,/,idiom,1902,如專賣之例如工商聯行之例皆當禁廢使得自由競爭而農夫乃食其利也,『新民叢報』17「生計學學說沿革小史」5+,
自由戀愛,/,idiom,1903,非能曲之男女。自由戀愛。自由合併。自由分離。,『新民叢報』31「聖西門之生活及其學說」11,
組織(3),/,noun,c1889 (1887),游醫學校有󺴌物動物光󵔽電理組織諸學組織云者顯極微物之謂,『游厯圖經餘記·卷三』9 (地980/895),
