Lemma,Sense,Word Class,Year,Quotation,Source,Note
感受,/,/,1905,/,/,from Japanese: 1884 (NDL)
鋼鐵,/,/,1890,/,/,from Japanese: 1871 (NDL)
高潮,/,/,1902,/,/,from Japanese: 1881 (NDL)
革命,/,/,1890,/,/,from Japanese: 1871 (NDL)
隔音,/,/,1930,/,/,from Japanese: 1921 (NDL)
個人,/,/,1902,/,/,from Japanese: 1881 (NDL)
個體,/,/,1903,/,/,from Japanese: 1882 (NDL)
個性,/,/,1905,/,/,from Japanese: 1884 (NDL)
根源,/,/,1902,/,/,from Japanese: 1881 (NDL)
根據,/,/,1903,/,/,from Japanese: 1882 (NDL)
公共,/,/,1890,/,/,from Japanese: 1871 (NDL)
共和,/,/,1890,/,/,from Japanese: 1871 (NDL)
公開,/,/,1902,/,/,from Japanese: 1881 (NDL)
公平,/,/,1903,/,/,from Japanese: 1882 (NDL)
公正,/,/,1905,/,/,from Japanese: 1884 (NDL)
公式,/,/,1902,/,/,from Japanese: 1875 (NDL)
公認,/,/,1903,/,/,from Japanese: 1881 (NDL)
公用,/,/,1905,/,/,from Japanese: 1884 (NDL)
公演,/,/,1912,/,/,from Japanese: 1902 (NDL)
公債,/,/,1890,/,/,from Japanese: 1871 (NDL)
構造,/,/,1902,/,/,from Japanese: 1881 (NDL)
關係,/,/,1890,/,/,from Japanese: 1871 (NDL)
觀測,/,/,1903,/,/,from Japanese: 1882 (NDL)
觀念,/,/,1902,/,/,from Japanese: 1881 (NDL)
觀點,/,/,1903,/,/,from Japanese: 1882 (NDL)
觀察,/,/,1905,/,/,from Japanese: 1884 (NDL)
規模,/,/,1902,/,/,from Japanese: 1881 (NDL)
規則,/,/,1890,/,/,from Japanese: 1871 (NDL)
規範,/,/,1903,/,/,from Japanese: 1882 (NDL)
規格,/,/,1912,/,/,from Japanese: 1905 (NDL)
過失,/,/,1902,/,/,from Japanese: 1881 (NDL)
過程,/,/,1903,/,/,from Japanese: 1882 (NDL)
海拔,/,/,1905,/,/,from Japanese: 1891 (NDL)
海岸,/,/,1890,/,/,from Japanese: 1871 (NDL)
海上,/,/,1902,/,/,from Japanese: 1881 (NDL)
海外,/,/,1903,/,/,from Japanese: 1882 (NDL)
海運,/,/,1905,/,/,from Japanese: 1884 (NDL)
航空,/,/,1902,/,/,from Japanese: 1881 (NDL)
航行,/,/,1903,/,/,from Japanese: 1882 (NDL)
行情,/,/,1912,/,/,from Japanese: 1902 (NDL)
合理,/,/,1902,/,/,from Japanese: 1881 (NDL)
合作,/,/,1903,/,/,from Japanese: 1882 (NDL)
核對,/,/,1905,/,/,from Japanese: 1884 (NDL)
核心,/,/,1919,/,/,from Japanese: 1905 (NDL)
