Lemma,Sense,Word Class,Year,Quotation,Source,Note
侵入,/,verb,1868,"to invade … as a disease a system, 侵入 … 侵害",Lobscheid『英華字典』s.v. Invade,metaphorical
侵襲,/,verb,1847,"to come upon, to attack, 侵襲","Medhurst, _English and Chinese Dictionary_, s.v. To come",
輕工業,/,noun,1919,幼年工得從事輕工業但以不妨碍其敎育及體質之發達爲限,『京報』7月21日「保護勞工法案」,
,/,/,1923,但輕工業及工人󴜴形。確有進境。,『盛京時報』2月8日「蘇俄採用新經濟政策之經過」,
傾銷(1),(neutral),verb,1916,遠渡重洋，傾銷於歐美諸邦，奪取獨步世界之日本鑵藏蜜柑市場⋯不虞有生產過剩之患矣,『新青年』1/5「冇柑及紅橘之鑵藏試驗」35,
,(negative),/,1928,當其國內銷路不旺時、卽貶價傾銷於國外、以爲此乃其生產過多時之最後一著、然吾汽車界諸人、不當存此思想,『時事新報』12月10日「美國汽車輸出觀」,
權,right,noun,a1849,英吉利王有󱸄兵講和的權.􁈥領王無有此權.,『海國圖志·󾼩五十二夷󴜴備采下』21 (地900/875.3),translating 'the right of making war and peace'
犬牙,/,noun,c1634,󲄠牙四⋯西國名犬牙。形之𨦟利似之。,『泰西人身說㮣·卷上·󰣋部』2v (Chinois 5130),
群島,/,noun,1833,五島⋯共稱呂宋羣島,Gützlaff『東西洋考每月統記傳』癸巳年六月「東南州島嶼等形勢綱目」,
群像(1),(as an artwork),noun,1915,門之巓東方民族之羣像在焉,『神州日報』5月11日「巴拿馬紀念會塲之五光十色」,from Japanese 群像: 1902 (NDL)
群眾,(as opposed to a political party),noun,1903,某黨所以能制多數者。因於社會中誘一部之群衆屬於同等耳。,『歐美政黨論』7,
