Lemma,Sense,Word Class,Year,Quotation,Source,Note
結果(2),/,conjunction,1905,及觀戰臺一經砲攻結果遂致戰艦上之消息不靈,『申報』8月7日「西人論戰艦觀戰臺之不能再用」,
解剖學,/,noun,1884,予不敏於施醫之暇譯解剖學誌全體通考一書,『全體通考·自序』1 (13142996),
金融,/,noun,1893,日本𮎰尾精氏⋯設貿易研究所於上海⋯著淸國通商綜覽一書⋯第四門曰金融、一章銀行、二章諸爲替,『萬國公報』56「書淸國通商綜覽後」,
,/,/,1898,然自明治十九年以降⋯金融機關漸漸通行,康有為「日本變政考」562 (023425009),
金石學,/,noun,a1800 (1793),􂹵心金石學遠期千秋知,趙希璜『四百三十二峰草堂詩鈔·卷十一』7 (5748),
金字塔,/,noun,1868,Pyramid 金字塔,"Lobscheid, _English and Chinese Dictionary_ iii, 1410",
,/,/,c1900 (1880),法將拿破崙提精兵四萬來寇士軍與之會戰於金字塔下,岡本監輔『萬國史記·卷五·埃及國記』4+,a Shanghai edn
,/,/,c1897,法王拿破侖第一起大兵來攻。土人會戰於金字󶅁下。,『時務通攷·卷二十二·史學八·埃及』9 (史720/1040),
進步,progressive,adjective,1907,要之此次政變即平素提倡改革之進步的政治家獲勝利之現象,『盛京時報』9月18日「日使對於張袁入軍機之評論」,postdating; note how 之 & 的 are _not_ interchangeable.
經典序錄,/,NP,c1325 (a1287),經典序錄河間人大毛公為詩故訓傳,王應麟『困學紀聞·卷之三·詩』1 (11340),
經濟(4),budget,noun,1903,杭州改進學社創社伊始經濟困難時鍾君在潯與其學生聞之同深感󿺩籌集補助金得百三十元,『國民日日報』11月2日「國民日日報主筆先生大人閣下􂔪讀」,
精品,/,noun,Sung,/,/,[stylistics](https://t18d.github.io/HuangSupplement/style/#:~:text=精品)
痙攣,/,noun,1902,二、痙攣症筋不能任意収縮之病或手足强直或痙攣􂳈搦患者知覺全失,何燏時譯補『中學生理教科書』38,
靜物,/,noun,1915,科目有靜物寫生石膏模型寫生人體寫生戶外寫生等,『申報』8月14日「東方畫會露佈」,
劇場,/,noun,1566 (a1559),此巳是󸥥境劇塲寤則不復憶散則無何有矣,王慎中『遵巖先生文集·卷之三十七·與􁜕東𪷆』27 (集024-0013),previously 戲劇場 or 雜劇場
句讀,/,noun,c1344 (a1134),句讀凡經書成文語絶處謂之句語未絶而點分之以便誦詠謂之讀⋯又屋韻 增入,『增修互註禮部韻略·卷第四·五十󶤾』(012278),postdating: earliest instance of 讀 as comma
覺悟,(with adjective),noun,1920,目前極有希望之點。厥爲中國大多數中級社會之漸有政治覺悟。,『時事新報』3月1日「匯豐銀行主席之演說」,
,(gradable),/,1937,上海大公報社論關於國民革命軍第八路軍之屢次偉大勝利作評論云：『因爲這一部分的國民革命軍底戰士們有最高度的政治覺悟和最嚴明的紀律⋯』,『救國時報』30 Septembre「以第八路軍爲模範」,Not in 大公報; probably fake news. The gradable noun is of communist origins and betrays authorship.
